year,SOI
1981,-0.25
1982,0.4
1983,-2.666666667
1984,0.2
1985,0.266666667
1986,0.016666667
1987,-0.866666667
1988,-0.133333333
1989,1.35
1990,-0.366666667
1991,-0.033333333
1992,-1.55
1993,-0.8
1994,-0.25
1995,-0.433333333
1996,0.316666667
1997,0.533333333
1998,-1.8
1999,1.266666667
2000,1.183333333
2001,1.216666667
2002,0.2
2003,-0.533333333
2004,0.183333333
2005,-0.683333333
2006,0.766666667
2007,-0.366666667
2008,1.516666667
2009,1.233333333
2010,-0.966666667
2011,2.233333333
2012,1.116666667
2013,0.2
2014,0.216666667
2015,-0.566666667
2016,-1.183333333
2017,0.15
2018,0.633333333
2019,-0.066666667
2020,-0.3
