Station Name,Water Year,Snow Water Equivalent (in) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Precipitation Accumulation (in) Start of Month Values
Ben Lomond Peak,1979,0,0,0,0,10.3,11.1,17.1,20.8,28.1,30.5,39.3,43.6,45.9,48.6,43,50.4,13.6,53.5,0,56.9,0,59.8,0,61.5
Ben Lomond Peak,1980,0,0,0,4,2.6,9.7,6.8,10.2,26.1,28.7,44.4,45,56.3,55.5,42.2,57.2,20.1,65.6,0,69,0,69.8,0,70.2
Ben Lomond Peak,1981,0,0,1,1.3,3.5,6.2,6,9.9,10,13.9,16.2,18.6,23,24.1,10.6,27.2,0,38.3,0,39.5,0,39.7,0,39.7
Ben Lomond Peak,1982,0,0,2.5,9.4,3.3,12.2,17.8,26.9,28.3,37.3,35,44.2,53.1,61.6,47.9,64.4,17.3,66.6,0,68.1,0,70.6,0,72.2
Ben Lomond Peak,1983,2.5,0,2.1,6.5,12.1,11.8,23.3,26.2,29.8,30.4,36.1,37,54.1,53.6,62.6,63.7,54.2,68.4,0,74.3,0,75.9,0,83.6
Ben Lomond Peak,1984,0.1,0,0.3,9.6,13.8,22.9,44.3,54.2,49.9,59.8,60.6,70.5,68.7,78.6,73.2,84,27.6,86.8,0,94.3,0,98.7,0,101.2
Ben Lomond Peak,1985,0.2,0,6.7,8.8,19.3,21.6,23,25.4,26,28.6,34.1,36.3,40.8,43.3,26.6,46.1,0,50.1,0,50.7,0,54,0,56.4
Ben Lomond Peak,1986,0,0,0.4,8.8,16.1,25,23.1,33.2,33.9,41.1,59,64,60.3,71.4,58.7,75.9,16.1,83,0,88.4,0,89.5,0,92.8
Ben Lomond Peak,1987,2.9,0,2,4,5,8.4,6.2,10.2,16.7,21.7,21.9,26.8,26,30,8.9,33.2,0,40.5,0,42,0,44,0,47.1
Ben Lomond Peak,1988,0,0,0,2.6,2.5,8.2,7.6,13.6,18.1,20.2,21.6,22.2,21,24.5,16.8,30.9,0.6,37.6,0,39.8,0,39.9,0,40.9
Ben Lomond Peak,1989,0,0,0,0.4,10.4,14.9,21.1,24.1,28.4,29.9,34.7,34.6,45.8,45,31.3,46.6,0,48.2,0,49.4,0,49.9,0,51.9
Ben Lomond Peak,1990,0,0,1.5,2.3,5.1,7.2,5.8,7.8,15.4,17.6,20.8,20.6,24.6,24.6,10.1,31.7,0.6,36.9,0,39.3,0,40.4,0,41.8
Ben Lomond Peak,1991,0,0,0.4,2.7,5.2,9.8,11.5,15.2,16.5,19.4,20.8,23.9,31.3,31.6,32,35.7,14.4,42.7,0,44.4,0,44.7,0,45.7
Ben Lomond Peak,1992,0,0,1.6,4.4,3.9,10.8,6.3,13.5,7.9,14.8,15.6,22.2,17.2,23.9,0,24.4,0,25.5,0,29.3,0,31.8,0,32.2
Ben Lomond Peak,1993,0,0,1.8,8,7.3,13.6,15.8,21.5,27.1,31.7,39.8,40.9,41.5,49.7,36.2,54.3,2.7,60.2,0,69.9,0,74.9,0,77.6
Ben Lomond Peak,1994,0,0,0,4.6,6.2,8.1,8.7,10.6,11.7,14.4,24.4,27,26.8,31.3,18.5,34.7,0,37.2,0,37.2,0,37.7,0,38.2
Ben Lomond Peak,1995,0,0,0,5.6,6.9,14.5,13.2,22.4,28.9,37.2,33.8,41.6,43.1,50.8,43.3,55.9,28.8,63,0,68.2,0,69.3,0,71.4
Ben Lomond Peak,1996,0,0,0.3,1.8,1.5,5.3,8.6,13.3,27,26.9,32.9,31.8,37.5,35.7,36.5,40.9,2.9,47,0,47,0,48.9,0,49.2
Ben Lomond Peak,1997,0,0,4.1,6,10.1,15,38.5,39,59.6,55.4,67.7,60.4,68.7,62.9,63.8,67.5,17.1,70.2,0,74.1,0,76.2,0,78.8
Ben Lomond Peak,1998,0,0,0,2.7,3.4,6.1,6.4,10,32.2,30.5,47.7,44.4,53.5,49.7,54.6,54.9,29.7,63.9,0,69.9,0,71.8,0,72.7
Ben Lomond Peak,1999,0,0,0,3.2,3.2,6.8,6.6,10.7,17.2,20.2,27.8,27.7,30.9,32.1,32.5,41.1,6.2,47.6,0,53,0,53,0,55.1
Ben Lomond Peak,2000,0,0,0,0,1.5,1.9,3.7,4.5,12.6,14.1,28.6,28.7,36.4,34.7,23.3,37.5,0,39.1,0,39.6,0,39.6,0,45.3
Ben Lomond Peak,2001,0,0,0.7,7.3,3.4,10.4,10.7,17.4,14.4,20.7,23.9,28.7,24.8,31.9,20.4,38.8,0,39.1,0,40.7,0,42.3,0,42.5
Ben Lomond Peak,2002,0,0,1.2,5.5,7.7,16.1,18.3,25.8,23.8,30.7,29.1,33.5,32.8,37.2,25.9,43.3,0,47,0,47.1,0,47.3,0,47.3
Ben Lomond Peak,2003,0,0,0.4,3.2,4.7,8.3,12.5,17,14.4,19.9,19.7,23.9,23.2,27,13.5,30.1,0,34.6,0,36.1,0,36.7,0,37.7
Ben Lomond Peak,2004,0,0,0.7,1.2,7.7,10.3,23.6,25.8,28.7,30.8,35.2,37.9,33.3,40.3,22.5,43.6,0,47.9,0,51.1,0,51.4,0,52.2
Ben Lomond Peak,2005,0,0,10.4,18.8,15.8,22.2,25.6,32,33.5,40.6,41.9,48.6,52.7,59.1,51.2,69.2,25,76.4,0,81.7,0,81.7,0,82.6
Ben Lomond Peak,2006,0,0,0.8,6.4,5.6,13.3,20.2,27.9,33.4,40.7,37.7,44.9,53.2,57.3,49.3,65.3,11.7,68.9,0,70.6,0,70.8,0,72.5
Ben Lomond Peak,2007,0,0,0,6.7,4.4,12.5,9,17.9,10.2,19.4,19.6,27.9,18.8,32,7.7,36.9,0,38.5,0,40.3,0,40.7,0,41.6
Ben Lomond Peak,2008,0,0,0,3.7,1.4,5.9,13.6,18,27.8,30.7,38.5,40.4,43.2,43.9,37.9,45.6,11,49.1,0,50,0,50.2,0,51.4
Ben Lomond Peak,2009,0,0,0,5.4,1.6,9.3,14.4,21.4,24,30.7,39.2,43.8,46.6,50.8,47.1,57.9,0.8,62.6,0,70.6,0,71.9,0,72.7
Ben Lomond Peak,2010,0.3,0,0.3,5.1,1,5.9,9.9,15.5,20,25.1,24.3,29.2,27.5,32,27.2,39.3,6.8,43.7,0,46.1,0,46.2,0,47.4
Ben Lomond Peak,2011,0,0,0.5,9.1,4.7,14.6,26.9,34.9,32.7,40.2,39.5,46.1,54.3,58.9,59.4,68.7,46.2,76.3,0,77.7,0,79,0,82.6
Ben Lomond Peak,2012,0,0,0,4.3,4.4,10,5.1,10.8,17.4,22.1,22.1,26.3,23.5,32,13.8,36.8,0,41.2,0,41.3,0,42.1,0,42.7
Ben Lomond Peak,2013,0,0,1.8,4.4,2.7,7.9,9.1,16.3,14.9,21.6,18.3,24,17.1,26.5,14.6,30.3,0,33.9,0,33.9,0,35,0,35.3
Ben Lomond Peak,2014,0,0,1.1,3.1,4,7,7.5,11.1,14.3,16,28.1,27.9,36.8,34.9,30.6,39.6,0,42.9,0,44.4,0,46.1,0,47.8
Ben Lomond Peak,2015,0,0,0,0.3,3.9,5.2,11.8,13.6,15.2,16.4,16.2,18,10.1,20.9,0,23.7,0,36.7,0,36.9,0,40.2,0,41.9
Ben Lomond Peak,2016,0,0,0,1.1,2.8,3.2,11.6,11.8,23.4,22.1,27.3,25.5,33.3,31.7,21.6,38.5,0,43.1,0,44,0,44,0,44.1
Ben Lomond Peak,2017,0,0,0,2.3,4.6,8.4,19.7,23.3,45,47.9,57.5,60.3,52.7,63.6,48.2,69.3,5,72.3,0,75,0,76.1,0,76.1
Ben Lomond Peak,2018,0,0,0,0.2,2.2,4.3,5.7,7.9,11.4,13.8,13.6,16.5,18.6,22.3,4.5,27,0,28.9,0,29.2,0,29.4,0,29.7
Ben Lomond Peak,2019,0,0,0,7.2,7.7,15,10.5,18.2,23.3,28.6,35.4,38.6,46.9,51,36.9,59.2,22.5,70.1,0,71,0,71.4,0,72
Ben Lomond Peak,2020,0,0,0.9,1.9,5.8,7.8,13,15,21.6,22,25.6,24.9,30.4,29.7,17.1,31.4,0,32.5,0,35.7,0,35.8,0,35.9
Ben Lomond Peak,2021,0,0,0,0.4,5.3,4.4,7.6,6.3,15.3,11.2,25.2,16.7,26.5,18.3,16.3,19.8,0,21.1,0,21.1,0,21.6,0,25.2
Ben Lomond Peak,2022,0,0,0,5.3,1.1,7,9.5,13.3,13.8,16,14.6,16.8,16.3,20.7,11.4,22.1,1.5,25.7,0,26.4,0,26.4,0,28.8
Ben Lomond Trail,1981,0,0,0,1.8,3.3,4.3,5.9,6.9,6.8,9.5,7.4,11.1,7.7,14.8,0,17,0,25.3,0,26.6,0,26.7,0,26.7
Ben Lomond Trail,1982,0,0,1.1,7.6,0.9,10.4,12.1,22.6,17.6,29,19.9,34.9,24.8,47.7,11.1,50.8,0,53,0,54,0,56,0,57.6
Ben Lomond Trail,1983,1,0,0.4,4.7,6.1,13.5,10.9,19.3,13.8,21.1,22.3,27.9,25.8,35.5,21.8,42.1,0,46.4,0,47.9,0,49.4,0,57.1
Ben Lomond Trail,1984,0,0,0,7,8.7,17.6,26.1,30.5,27.9,31.8,33.1,38.8,34.1,40.6,24.8,45.3,0,47.9,0,52,0,54.4,0,55.7
Ben Lomond Trail,1985,0.2,0,3.4,6,12.7,16.1,20.1,21.1,21.6,22.1,26.2,25.1,30.1,29,0.9,31.3,0,35.3,0,35.8,0,38.4,0,40.4
Ben Lomond Trail,1986,0,0,0.5,6.3,12.3,15.5,16.6,19.3,18.8,21.8,26.5,39.9,24.6,45.7,8,50.8,0,57.5,0,61.9,0,63,0,63.6
Ben Lomond Trail,1987,3.8,0,0,2.1,2.2,6,1.1,6.8,8.1,12.6,10.2,16,11.6,18.7,0,20.5,0,27.1,0,28.3,0,31,0,34.3
Ben Lomond Trail,1988,0,0,0,1.9,1.8,5.6,4.7,9,9.4,14,9.8,14.9,11.1,17.7,0,23.2,0,28.8,0,29,0,29,0,29.5
Ben Lomond Trail,1989,0,0,0,0.3,7.8,11,15.1,16.5,20.2,20.5,24.2,23.7,20.8,31.7,0,33.3,0,34.8,0,36.9,0,37.6,0,39.4
Ben Lomond Trail,1990,0,0,1,2.5,2.4,7.1,2.3,7.4,7.6,14.7,10.1,16.9,7.7,20,0,25.6,0,29.1,0,31.4,0,32.1,0,33.2
Ben Lomond Trail,1991,0,0,0,2.9,1.9,8.1,6.2,12.2,9.4,14.8,11.6,18.1,17.5,23.5,3.3,26.8,0,31.6,0,33.8,0,34.1,0,34.8
Ben Lomond Trail,1992,0,0,0.4,4.8,1.3,9.7,2.8,11.2,3.9,12.2,7.7,16.7,2,18,0,19,0,20,0,22.9,0,25.4,0,26
Ben Lomond Trail,1993,0,0,0.9,7.6,2.8,12.2,8.6,18,16.1,25.8,22.5,31.5,18.1,38.5,2.1,41.9,0,46.1,0,52.7,0,56.2,0,57.4
Ben Lomond Trail,1994,0,0,0,3.4,1.5,5.7,2.9,7.7,7,10.8,15.5,21.4,13.9,25.5,0,28.6,0,31,0,31,0,31.2,0,31.6
Ben Lomond Trail,1995,0,0,0,5.3,4.3,10.7,8.5,15.9,16.8,26.2,19.7,28.7,16,36.2,0,39,0,42.6,0,44.9,0,45.4,0,46.3
Ben Lomond Trail,1996,0,0,0,1.6,0.4,5.2,2.2,11.6,13.2,20.6,16.8,24.4,18.4,26.9,3.3,31.1,0,35,0,35.1,0,36.7,0,36.7
Ben Lomond Trail,1997,0,0,2,4.2,2.7,12.5,18.3,32.5,27.4,42.9,30.7,44,28.6,45,16.3,46.8,0,48.3,0,49.9,0,50.4,0,52.8
Ben Lomond Trail,1998,0,0,0,1.9,2,4.4,4.3,6.6,19.8,22,29.3,29.6,30.2,33.3,18.6,36.1,0,40.6,0,43.5,0,44.2,0,44.8
Ben Lomond Trail,1999,0,0,0,2.5,0,5.7,3.1,8.2,10.3,15.2,15.5,21.2,14.4,23.1,3.3,28.2,0,32.7,0,36.5,0,36.5,0,38.3
Ben Lomond Trail,2000,0,0,0,0.3,0.7,1.2,2.3,2.7,6.6,9.6,15.5,19.6,18.4,23.5,0,25.3,0,26.8,0,27.4,0,27.4,0,31.4
Ben Lomond Trail,2001,0,0,0,3.1,2,5,7.2,10,9.3,12,15.5,17.8,12.4,20,0,24.3,0,24.8,0,27.1,0,28.6,0,28.8
Ben Lomond Trail,2002,0,0,0,5.6,4.1,12.2,11.3,19.3,14.9,21.8,16.9,23.9,18.2,27.1,0.5,32.2,0,34.6,0,34.6,0,34.7,0,34.7
Ben Lomond Trail,2003,0,0,0.2,2,2.2,6.2,7.9,11.2,9.1,13.7,11.5,16.7,8.2,19.4,0,21.3,0,24.3,0,25.7,0,25.8,0,27.6
Ben Lomond Trail,2004,0,0,0.5,0.5,6.3,7.2,16.3,16.5,19.5,19.4,25.1,23.6,18.9,25.2,0,27.4,0,31,0,33.8,0,34.1,0,35.3
Ben Lomond Trail,2005,0,0,1.4,15.2,2.1,18.2,8.6,22.5,14.2,30.3,19.8,37,24.2,41.8,8.9,48.8,0,54.6,0,58.4,0,58.4,0,59.2
Ben Lomond Trail,2006,0,0,0,3.4,3.4,7.2,9.9,19.6,18.3,28.5,21.1,31.2,26.1,40.4,3.9,45.6,0,48.6,0,50.9,0,50.9,0,53.3
Ben Lomond Trail,2007,0,0,0,5.2,2.3,10.2,4.5,13.5,5.4,14.6,9.1,20,1,23.4,0,26.7,0,28.4,0,29.3,0,30.2,0,31.2
