year,avg_AMJJ,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
1979,381.6,42.2,46.7,104.8,607.4,590.2,274.4,54.4,42.3,23.6,20.9,26.9,23.4
1980,246.35,25.8,33.8,54.1,359.9,474.7,126.8,24,27.7,23,25,26.2,28
1981,69.5,26,25.4,31.6,125,87.3,39.5,26.2,24.6,44.6,34.6,22.9,22.4
1982,137.275,22.8,25.6,54.3,228.8,234.7,61.3,24.3,42.4,42.7,28.4,36.9,32.6
1983,337.75,33.4,38.1,100.6,502.6,582.2,221,45.2,74.3,33.9,37.8,25.3,29.1
1984,176.65,33.9,35.8,86.1,274.7,323.8,73.5,34.6,38.4,24.8,50.4,42.5,33.1
1985,394.925,33.8,36.8,220.8,778.5,614.4,123.8,63,47,51.9,63.8,49.8,41.6
1986,145.7,37,72.3,102.7,233,182.2,89,78.6,57.2,63.1,109,128,58.2
1987,291.85,42.1,54.5,133.1,637.5,397.5,95.7,36.7,42.8,28.9,30.8,45.2,33.3
1988,118.475,37.2,42.6,102.7,219.6,166,50.4,37.9,88.1,92,42.4,43.1,32.3
1989,60.6,28.2,36.3,206.7,139.1,47.6,21,34.7,39.5,35.5,39.3,25.2,23.5
1990,81.75,27.4,27.1,74.7,126.6,127.3,28.8,44.3,38.4,61.4,36.9,45.1,27.8
1991,172.9,28,33.6,71.7,344.3,207.4,78.5,61.4,92.5,95.8,35.8,56.8,54.4
1992,279.325,49.6,56.1,163,629.9,358.4,95.2,33.8,43,28.1,27.2,33.6,32.4
1993,247.6,41.6,43.1,192.9,502.1,349.8,107.9,30.6,40.3,34.3,28,33,28.1
1994,88,25.9,30.9,57.5,123.9,178.6,32.8,16.7,37.8,29.1,38.9,47.9,46.8
1995,234.425,50.6,77.1,301.1,241.8,394.6,234.8,66.5,48.7,32.9,31.5,28.1,27.3
1996,18.325,22.7,29,26,30.9,13.5,10.5,18.4,18.8,18.8,29.8,42.8,32.9
1997,171.9,40.7,41.6,194,243.7,301.5,111.6,30.8,52,42.4,30.2,31.4,29.2
1998,143.925,30.4,34.4,161.2,228.3,266.3,48.2,32.9,37.8,27.6,47.4,57.7,37.1
1999,92.925,30.1,32,50.4,121.8,156.6,49.4,43.9,127.7,46.6,26.5,23.8,24.6
2000,57.7,28.8,31.8,51.5,132.4,62.5,17.6,18.3,17.9,13.5,35.9,36.1,28
2001,143.975,25.3,32,123.9,325.8,197.1,29.2,23.8,31.3,19.9,18.8,25,24
2002,19.9,24,24.6,30.7,24.8,15.8,21.6,17.4,17.4,21.5,17.7,35.6,23
2003,69.6,22.8,30.9,58.7,94.5,146.3,24.3,13.3,17.9,29.3,22.8,22.5,21.6
2004,108.35,21.4,21.9,128,258.8,134.5,21,19.1,18,14.8,19.6,21.4,20.6
2005,223.475,29.3,54.4,73.6,445,369.7,59.8,19.4,22.7,22.5,24.5,20.6,17.4
2006,19.775,18.7,20.1,23.4,30.6,15.2,13.8,19.5,73.8,32.5,40.2,30.1,28.2
2007,115.725,28.2,31.6,197.2,156.1,244.3,40.6,21.9,25.1,31.5,25.7,26.1,55.1
2008,106.225,26.4,37.3,148.9,195.7,158.7,42,28.5,31.1,22.6,26,24.2,25.5
2009,74.675,27.6,27.2,64.5,110.9,127.5,38.7,21.6,13.7,18.6,18.9,19.5,18
2010,129.9,20.3,24.2,28,304.8,162.8,27.9,24.1,26.9,16.2,18.8,21.6,24.5
2011,33.475,23.3,24.9,33.2,55.4,55.5,12.5,10.5,20.3,19.8,19.6,20.7,21
2012,56.245,22.7,21.7,108.9,157.7,41,8.88,17.4,13.1,11.8,13.5,15.2,16.7
2013,29.2,19.4,19.2,37.6,47.8,33.5,11.5,24,15.9,74.5,25,29.6,20.5
2014,31.2,18.9,25.1,31.1,47.7,46.3,10.1,20.7,36.3,11.5,15.9,19.6,20
2015,104.5,23.3,45.5,103.4,107.1,186,60.1,64.8,37.7,17.6,27,30.5,24
2016,72.45,25.5,46.5,116.8,135.3,113.9,24.4,16.2,30.4,19.4,16.4,24.4,26.7
2017,113.7,30.3,57.8,150.2,238.3,164.3,35.1,17.1,18.9,20.9,30.1,21.9,17.8
2018,16.35,18.5,22.2,26.9,29.9,12.5,9.6,13.4,14.2,13.3,23.6,18.5,16.6
2019,177.55,18.2,21.9,204.5,340.7,260.2,86.9,22.4,16.5,12,13.5,17.3,19.6
2020,41.655,18.5,22.9,71.2,91.8,50.9,14.5,9.42,8.47,9.63,999,999,999
