,LinearRegression,PrincipalComponentRegression,SVR,RandomForestRegressor,ExtraTreesRegressor
SNOTEL_SWE_M_0,0,0,3,0,2
SNOTEL_SWE_A_0,0,0,0,0,0
SNOTEL_PA_M_0,0,0,0,7,0
SNOTEL_PA_A_0,1,1,1,0,1
SNOTEL_SWE_M_1,0,0,0,8,0
SNOTEL_SWE_A_1,0,0,0,0,8
SNOTEL_PA_M_1,0,0,0,2,0
SNOTEL_PA_A_1,0,0,0,0,0
SNOTEL_SWE_M_2,0,0,10,6,0
SNOTEL_SWE_A_2,0,0,0,0,0
SNOTEL_PA_M_2,0,0,0,0,0
SNOTEL_PA_A_2,0,0,4,1,3
SNOTEL_SWE_M_3,0,7,5,0,4
SNOTEL_SWE_A_3,0,0,0,9,0
SNOTEL_PA_M_3,8,6,0,0,0
SNOTEL_PA_A_3,0,10,8,0,10
SNOTEL_SWE_M_4,0,0,0,0,0
SNOTEL_SWE_A_4,0,0,0,0,0
SNOTEL_PA_M_4,7,0,0,0,0
SNOTEL_PA_A_4,0,0,6,10,0
SNOTEL_SWE_M_5,0,0,9,5,0
SNOTEL_SWE_A_5,0,0,0,0,0
SNOTEL_PA_M_5,10,8,0,0,9
SNOTEL_PA_A_5,0,0,0,0,0
SNOTEL_SWE_M_6,0,0,0,0,0
SNOTEL_SWE_A_6,3,3,0,0,0
SNOTEL_PA_M_6,0,0,0,0,0
SNOTEL_PA_A_6,5,5,0,0,0
SPFH_mean,6,0,0,3,5
TMP_mean,2,2,2,0,0
WIND_mean,0,0,0,0,0
SOI,9,9,0,0,7
PDO,0,0,7,4,0
NAO,0,0,0,0,0
AMO,4,4,0,0,6
