,LinearRegression,PrincipalComponentRegression,SVR,RandomForestRegressor,ExtraTreesRegressor
SNOTEL_SWE_M_0,0,0,0,0,7
SNOTEL_SWE_A_0,0,0,0,6,9
SNOTEL_PA_M_0,0,0,0,0,0
SNOTEL_PA_A_0,2,2,0,0,3
SNOTEL_SWE_M_1,6,0,0,0,0
SNOTEL_SWE_A_1,0,0,0,0,0
SNOTEL_PA_M_1,0,0,0,4,8
SNOTEL_PA_A_1,9,0,0,2,0
SNOTEL_SWE_M_2,0,0,10,5,0
SNOTEL_SWE_A_2,0,0,0,0,0
SNOTEL_PA_M_2,0,0,0,0,0
SNOTEL_PA_A_2,0,0,0,0,0
SNOTEL_SWE_M_3,0,0,0,0,0
SNOTEL_SWE_A_3,0,10,9,0,0
SNOTEL_PA_M_3,0,0,0,0,0
SNOTEL_PA_A_3,0,0,7,0,0
SNOTEL_SWE_M_4,5,4,0,1,1
SNOTEL_SWE_A_4,1,1,5,3,10
SNOTEL_PA_M_4,0,0,0,8,0
SNOTEL_PA_A_4,0,0,0,0,0
SNOTEL_SWE_M_5,0,0,0,10,0
SNOTEL_SWE_A_5,8,0,0,0,0
SNOTEL_PA_M_5,0,0,0,0,0
SNOTEL_PA_A_5,0,0,8,0,0
SNOTEL_SWE_M_6,7,9,0,0,0
SNOTEL_SWE_A_6,4,5,0,0,0
SNOTEL_PA_M_6,10,0,2,0,0
SNOTEL_PA_A_6,0,7,0,0,5
SNOTEL_SWE_M_7,0,0,0,0,0
SNOTEL_SWE_A_7,0,0,0,0,0
SNOTEL_PA_M_7,0,0,0,0,0
SNOTEL_PA_A_7,0,0,6,0,4
SNOTEL_SWE_M_8,0,0,0,0,0
SNOTEL_SWE_A_8,0,0,0,0,0
SNOTEL_PA_M_8,0,0,1,7,0
SNOTEL_PA_A_8,0,0,3,0,0
SPFH_mean,3,3,4,9,2
TMP_mean,0,8,0,0,0
WIND_mean,0,0,0,0,0
SOI,0,0,0,0,6
PDO,0,0,0,0,0
NAO,0,6,0,0,0
AMO,0,0,0,0,0
