,LinearRegression,PrincipalComponentRegression,SVR,RandomForestRegressor,ExtraTreesRegressor
SNOTEL_SWE_M_0,3,0,0,6,0
SNOTEL_SWE_A_0,1,1,1,1,1
SNOTEL_PA_M_0,9,0,0,9,6
SNOTEL_PA_A_0,0,0,8,4,0
SNOTEL_SWE_M_1,4,0,10,0,9
SNOTEL_SWE_A_1,5,2,3,10,5
SNOTEL_PA_M_1,8,0,0,0,0
SNOTEL_PA_A_1,0,0,0,0,10
SNOTEL_SWE_M_2,0,0,0,8,0
SNOTEL_SWE_A_2,0,9,6,0,0
SNOTEL_PA_M_2,10,10,0,3,8
SNOTEL_PA_A_2,0,0,0,0,3
SPFH_mean,0,8,7,0,7
TMP_mean,2,5,2,5,0
WIND_mean,0,3,5,0,2
SOI,6,6,4,2,0
PDO,0,0,0,0,0
NAO,7,7,9,0,0
AMO,0,4,0,7,4
